timestamp,open,high,low,close,adjusted close,volume,dividend amount
2014-12-31,161.6400,164.5200,150.5000,160.4400,99.5328,101614529,0.0000
2014-11-28,164.2500,164.9700,159.8000,162.1700,100.6060,80018581,1.1000
2014-10-31,189.9100,190.8900,161.1000,164.4000,101.2993,146272610,0.0000
2014-09-30,192.6800,195.0000,188.1200,189.8300,116.9686,64033759,0.0000
2014-08-29,190.5000,194.1330,183.5800,192.3000,118.4906,53441600,1.1000
2014-07-31,181.7000,196.4000,181.7000,191.6700,117.4079,97597800,0.0000
2014-06-30,184.7600,187.6500,179.2700,181.2700,111.0374,78501700,0.0000
2014-05-30,196.3100,196.7400,182.3300,184.3600,112.9302,70018300,1.1000
2014-04-30,193.1200,199.2100,187.0100,196.4700,119.6529,118447100,0.0000
2014-03-31,183.3300,195.6300,182.2100,192.4900,117.2290,118984000,0.0000
2014-02-28,176.0200,186.1200,172.1900,185.1700,112.7711,87054800,0.9500
2014-01-31,187.2100,190.8100,175.3400,176.6800,107.0185,123489300,0.0000
2013-12-31,179.4600,187.7900,172.7300,187.5700,113.6148,97993100,0.0000
2013-11-29,179.8100,186.2400,177.3100,179.6800,108.8356,100984900,0.9500
2013-10-31,185.3400,186.9900,172.5700,179.2100,107.9785,130967100,0.0000
2013-09-30,183.6300,194.8900,182.3100,185.1800,111.5756,71488100,0.0000
2013-08-30,196.6500,197.1700,181.1000,182.2700,109.8222,73077400,0.9500
2013-07-31,192.1500,200.9400,190.2600,195.0400,116.9274,88079400,0.0000
2013-06-28,208.2500,210.0500,188.4100,191.1100,114.5713,80215000,0.0000
2013-05-31,201.8700,211.9800,199.2000,208.0200,124.7089,90683600,0.9500
2013-04-30,212.8000,214.8900,187.6800,202.5400,120.8630,108666600,0.0000
2013-03-28,200.6500,215.9000,199.3600,213.3000,127.2839,76023800,0.0000
2013-02-28,204.6500,205.3500,197.5100,200.8300,119.8426,64144100,0.8500
2013-01-31,194.0900,208.5800,190.3900,203.0700,120.6691,87636600,0.0000
2012-12-31,190.7600,196.4500,186.9400,191.5500,113.8236,79320200,0.0000
2012-11-30,194.9600,198.0000,184.7800,190.0700,112.9442,81892500,0.8500
2012-10-31,208.0100,211.7900,190.5600,194.5300,115.0827,96155000,0.0000
2012-09-28,196.6100,208.3200,193.2500,207.4500,122.7261,77341400,0.0000
2012-08-31,196.9600,202.0000,193.0200,194.8500,115.2720,60653700,0.8500
2012-07-31,196.3600,197.8400,181.8500,195.9800,115.4474,91516500,0.0000
2012-06-29,190.1200,199.9900,187.0000,195.5800,115.2118,84559100,0.0000
